schedule,mean_cumulative_reward,std_cumulative_reward,mean_total_cost,std_total_cost
constant,8.989061437600082,0.032487697763606674,-8.989061437600082,0.032487697763606674
linear,8.996177892347252,0.028554342495961914,-8.996177892347252,0.028554342495961914
power,8.980917487332865,0.04385395482483957,-8.980917487332865,0.04385395482483957
